listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668261987118-3860157887-location	Napier, Hawke's Bay	2019 Ford Ranger	 Ask us about Finance options on all vehicles! 	85,796km	3200cc, Diesel, Tiptronic	$53,990		Asking price  $53,990
1668261987204-3860151293-location	Whakatane, Bay of Plenty	1980 Ford Cortina	 1980 Cortina Ghia 	164,600km	2000cc, Petrol, Automatic	$11,000	 Private seller 	sale_type missing
1668261987215-3860060631-location	Kerikeri, Northland	2006 Ford Courier	sub_title missing	321,862km	2606cc, Petrol, Manual	$6,900	 Private seller 	sale_type missing
1668261987310-3860015900-location	Porirua, Wellington	1975 Ford Falcon	sub_title missing	96km	4100cc, Petrol, Manual	$45,000	 Private seller 	Asking price  $45,000
1668261987400-3859647210-location	Cromwell, Otago	2011 Ford Falcon	 Fabulous to drive 	215,856km	3984cc, Petrol, Automatic	$9,800	 Private seller 	sale_type missing
1668261987408-3859018097-location	Westport, West Coast	1999 Ford Falcon	 XR6 TICKFORD 5 SPEED MANUAL Low Kms 	145,000km	4100cc, Petrol, Manual	$12,500	 Private seller 	sale_type missing
1668261987525-3858761737-location	Manukau City, Auckland	2017 Ford Transit	 NZ NEW / HIGH ROOF / LWB 	126,117km	1995cc, Diesel, Automatic	$44,990		Asking price  $44,990
1668261987535-3858694493-location	Tauranga, Bay of Plenty	2019 Ford Everest	 2.0L, BI TURBO, AWD, LEATHER TRIM, 3100KG TOWING 	79,480km	1996cc, Diesel, Automatic	$56,990		Asking price  $56,990
1668261987601-3858682616-location	Tauranga, Bay of Plenty	2020 Ford Escape	 2.0L, AUTO, AWD, APPLE CAR PLAY 	31,108km	1999cc, Petrol, Automatic	$40,990		Asking price  $40,990
1668261987608-3858682530-location	Tauranga, Bay of Plenty	2021 Ford Ranger	 3.2L, AUTO, 4WD, GPS, LEATHER TRIM,  3500KG TOWING 	21,018km	3198cc, Diesel, Automatic	$58,990		Asking price  $58,990
1668261987615-3858682528-location	Tauranga, Bay of Plenty	2021 Ford Ranger	 2.0L, AUTO, 4WD, APPLE CAR PLAY, 3500KG TOWING 	19,598km	1996cc, Diesel, Automatic	$56,990		Asking price  $56,990
1668261987634-3858682527-location	Tauranga, Bay of Plenty	2014 Ford Falcon	 4.0L, AUTO,  BLUETOOTH, HARD TO FIND WITH LOW KM'S 	76,122km	3984cc, Petrol, Automatic	$23,990		Asking price  $23,990
1668261987700-3858557191-location	Lower Hutt, Wellington	2019 Ford Endura	 BIG ROOMY SUV 	32,697km	2000cc, Diesel, Automatic	$37,995		Asking price  $37,995
1668261987711-3858420723-location	Rangiora, Canterbury	1963 Ford Anglia	 1963 popular, and 1957 100e anglia 	1,000,000km	1172cc, Petrol	$1,500	 Private seller 	sale_type missing
1668261987719-3858376201-location	Lower Hutt City, Wellington	1997 Ford Econovan	 Trusty old mate, ready to be your new best friend 	340,881km	1998cc, Petrol, Manual	$1,210	 Private seller 	sale_type missing
1668261987726-3858370885-location	Napier, Hawke's Bay	2020 Ford Ranger	 TONNEAU COVER / TOW BAR / DECK LINER 	36,623km	1996cc, Diesel, Automatic	$69,990		Asking price  $69,990
1668261987735-3858340662-location	North Shore, Auckland	2019 Ford F250	 Great condition, nothing like it 	13,800km	Diesel, Automatic	$60,000	 Private seller 	sale_type missing
1668261987740-3858323626-location	Auckland, Auckland	2021 Ford Focus	 Auckland's Only NZ Owned Ford and Mazda Dealership 	6,448km	1496cc, Petrol, Automatic	$31,995		Asking price  $31,995
1668261987747-3858322980-location	Auckland, Auckland	2019 Ford Transit	 Auckland's Only NZ Owned Ford and Mazda Dealership 	39,008km	1995cc, Diesel, Automatic	$54,995		Asking price  $54,995
1668261987755-3858322893-location	Auckland, Auckland	2019 Ford Ranger	 Auckland's Only NZ Owned Ford and Mazda Dealership 	47,691km	3198cc, Diesel, Automatic	$49,995		Asking price  $49,995
1668261987762-3857992908-location	Whanganui, Whanganui	2012 Ford Ranger	 Good condition, runs well 	337,000km	3199cc, Diesel, Manual	$20,000	 Private seller 	Or near offer  $20,000
1668261987767-3857346323-location	Te Awamutu, Waikato	2016 Ford Ranger	 NZ NEW, LOW KMS, R/CAMERA, TOWBAR, CAMCO BOX!! 	34,243km	3200cc, Diesel, Automatic	$46,950		Asking price  $46,950
1668261996393-3857311644-location	North Shore, Auckland	2018 Ford Ranger	sub_title missing	78,600km	1996cc, Diesel, Automatic	$60,000	 Private seller 	sale_type missing
1668261996404-3857199921-location	Nelson, Nelson Bays	2021 Ford Ranger	 NZ New, 1 NZ Owner 	29,583km	3198cc, Diesel, Automatic	$75,000	 Private seller 	sale_type missing
1668261996412-3857094593-location	Tauranga, Bay of Plenty	2019 Ford Ranger	 3.2L, AUTO, 4WD, GPS, APPLE CAR PLAY, 3500KG TOWIN 	34,920km	3198cc, Diesel, Automatic	$51,990		Asking price  $51,990
1668261996422-3856866772-location	North Shore, Auckland	2014 Ford Territory	 **** Ford Territory Titanium AWD Diesel**** 	93,493km	2720cc, Diesel, Automatic	$22,900	 Private seller 	Or near offer  $22,900
1668261996428-3856832444-location	Feilding, Manawatu	2017 Ford Everest	 Over 20 years Experience in the motoring Industry 	126,065km	3198cc, Diesel, Automatic	$44,900	 Dealer | Automotive Direct 2020 Ltd 	Asking price  $44,900
1668261996433-3856816129-location	Kerikeri, Northland	2022 Ford Escape	 Tailored finance to suit, enquire now! 	mileage missing	2000cc, Petrol, Automatic	$49,990		Asking price  $49,990
1668261996444-3856795913-location	Lower Hutt, Wellington	2022 Ford Ranger	 TRADE IN PRICES  AVAILABLE TODAY! 	10,102km	2000cc, Diesel	$63,990		Asking price  $63,990
1668261996464-3856779556-location	Napier, Hawke's Bay	2022 Ford Everest	 Ask us about Finance options on all vehicles! 	12,380km	2000cc, Diesel, Tiptronic	$74,990		Asking price  $74,990
1668261996476-3856742596-location	Hamilton, Waikato	2016 Ford Ranger	 BUY NOW, DON'T PAY UNTIL 2023 - FINANCE T's & C's* 	90,000km	3198cc, Diesel, Automatic	$36,990		Asking price  $36,990
1668261996486-3856650181-location	Auckland, Auckland	2022 Ford Ranger	 Auckland's Only NZ Owned Ford and Mazda Dealership 	8,271km	3198cc, Diesel, Automatic	$57,995		Asking price  $57,995
1668261996491-3856650175-location	Auckland, Auckland	2020 Ford Everest	 Auckland's Only NZ Owned Ford and Mazda Dealership 	31,172km	1996cc, Diesel	$60,995		Asking price  $60,995
1668261996497-3856579293-location	Whangarei, Northland	2021 Ford Ranger	 Tailored finance to suit, enquire now! 	9,780km	Diesel	$79,990		Asking price  $79,990
1668261996503-3856517305-location	New Plymouth, Taranaki	2002 Ford Transit	 12 seater Ford Transit Minibus 	465,000km	2500cc, Diesel, Manual	$11,500	 Private seller 	Asking price  $11,500
1668261996513-3855658220-location	Auckland City, Auckland	1966 Ford Mustang	sub_title missing	33,000km	4739cc, Petrol	$24,100	 Private seller 	sale_type missing
1668261996519-3855581836-location	Te Puke, Bay of Plenty	2013 Ford Ranger	 Perfect for a tradie 	219,900km	3199cc, Diesel, Manual	$23,000	 Private seller 	Asking price  $23,000
1668261996524-3855455114-location	Auckland, Auckland	2019 Ford Ranger	 EASY FINANCE AVAILABLE 1 YR FREE WARRANTY 	46,985km	3198cc, Diesel, Automatic	$49,989		Asking price  $49,989
1668261996564-3855401087-location	Matamata, Waikato	2013 Ford Kuga	 Clean, Tidy 1 owner, Superb SUV 	92,030km	1596cc, Petrol, Automatic	$14,600	 Private seller 	Asking price  $14,600
1668261996570-3855400899-location	North Shore, Auckland	2018 Ford Ranger	 2018 Ford Ranger XLT 2WD Double CAB CANOPY 	43,000km	3198cc, Diesel, Automatic	$44,990	 Private seller 	Or near offer  $44,990
1668261996575-3855382905-location	Christchurch, Canterbury	2018 Ford Ecosport	 ASK ABOUT OUR EASY TO OWN FINANCE 	46,291km	998cc, Petrol, Automatic	$19,980		Asking price  $19,980
1668261996585-3855382895-location	Christchurch, Canterbury	2014 Ford Ranger	 ASK ABOUT OUR EASY TO OWN FINANCE 	155,618km	3199cc, Diesel, Automatic	$35,980		Asking price  $35,980
1668261996595-3855350741-location	Whakatane, Bay of Plenty	2017 Ford Ranger	 20 INCH ALLOYS, FLARES, NUDGE BAR, LIGHT BAR 	90,850km	3198cc, Diesel, Automatic	$49,995		Asking price  $49,995
1668261996600-3855329996-location	Hibiscus Coast, Auckland	2021 Ford Mustang	 RTR SPEC 3 - AS NEW! 	3,000km	5038cc, Petrol, Manual	$149,999	 Private seller 	Asking price  $149,999
1668262008112-3855317305-location	Taupo, Waikato	2018 Ford Ranger	 2018 Ford Ranger Xlt Double Cab W/Sa 	115,000km	3198cc, Diesel, Automatic	$45,000	 Private seller 	Or near offer  $45,000
1668262008125-3855203052-location	Christchurch City, Canterbury	2019 Ford Ranger	 NZ New, Ex-Lease with Comprehensive Maint History 	206,618km	3198cc, Diesel, Automatic	$36,990	 Private seller 	Asking price  $36,990
1668262008162-3855024471-location	Lyttelton, Canterbury	2012 Ford Territory	 NZ new, 94,650 km - great condition- rare find 	94,650km	2720cc, Diesel, Automatic	$23,000	 Private seller 	Asking price  $23,000
1668262008169-3854935843-location	North Shore, Auckland	2014 Ford Ranger	 Great condition 2014 Ford Ranger 	201,512km	3199cc, Diesel, Automatic	$20,000	 Private seller 	sale_type missing
1668262008182-3854908630-location	Palmerston North, Manawatu	2017 Ford Mondeo	 GPS SAT NAV CRUISE CONTROL 	124,770km	1997cc, Diesel, Automatic	$14,990		Asking price  $14,990
1668262008194-3854670777-location	Auckland City, Auckland	2000 Ford LTD	sub_title missing	96,494km	4942cc, Petrol, Automatic	$22,000	 Private seller 	sale_type missing
1668262008209-3853744899-location	Kaiapoi, Canterbury	2020 Ford Ranger	sub_title missing	36,300km	3198cc, Diesel, Automatic	$57,900	 Private seller 	Asking price  $57,900
1668262008220-3853663591-location	Manukau, Auckland	2009 Ford Ranger	 $1 Reserve!!!!!, No Buy Now, as is where is 	317,509km	2953cc, Diesel, Manual	$5,009	 Private seller 	sale_type missing
1668262008261-3853659370-location	Hamilton, Waikato	2014 Ford Kuga	sub_title missing	75,000km	1596cc, Petrol, Automatic	$19,990		Asking price  $19,990
1668262008269-3853643838-location	Rolleston, Canterbury	2007 Ford Mustang	 Immaculate 12 time National Award Winning vehicle 	37,000km	4600cc, Petrol, Manual	$60,000	 Private seller 	Asking price  $60,000
1668262008275-3853537784-location	Dargaville, Northland	2021 Ford Ranger	sub_title missing	23,000km	1996cc, Diesel, Automatic	$85,000	 Private seller 	Or near offer  $85,000
1668262008309-3853466037-location	Blenheim, Marlborough	2018 Ford Ranger	 Quick sale wanted 	71,000km	3198cc, Diesel, Automatic	$48,500	 Private seller 	sale_type missing
1668262008380-3853377597-location	Kapiti, Wellington	1997 Ford Falcon	sub_title missing	128,000km	4942cc, Petrol, Automatic	$24,000	 Private seller 	sale_type missing
1668262008467-3853349925-location	Dunedin, Otago	2015 Ford Ranger	 NZ NEW 	147,283km	3199cc, Diesel, Manual	$22,995		Asking price  $22,995
1668262008569-3853348795-location	Auckland, Auckland	2007 Ford Mustang	sub_title missing	139,834km	4600cc, Petrol, Automatic	$44,990	 Dealer | Performance Autos 	Asking price  $44,990
1668262008677-3853123551-location	Hastings, Hawke's Bay	2011 Ford Falcon	 FIANANCE AVAILABLE 	154,941km	4000cc, Petrol, Automatic	$27,990		Asking price  $27,990
1668262008788-3853060912-location	Hamilton, Waikato	2022 Ford Ranger	sub_title missing	37km	2993cc, Diesel, Automatic	$81,000	 Private seller 	sale_type missing
1668262008795-3852270481-location	Rotorua, Bay of Plenty	2007 Ford Ranger	 Ford Ranger 2007 	223,572km	2953cc, Diesel, Manual	$13,000	 Private seller 	sale_type missing
1668262008863-3852156018-location	Northland, Northland	2018 Ford Endura	 Home of the Mighty West Coast Edition Ranger 	94,190km	1997cc, Diesel, Automatic	$35,000		Asking price  $35,000
1668262008871-3852100894-location	Auckland City, Auckland	2022 Ford Ranger	 3.2L + UPGRADE RAPTOR WHEELS + BALANCE OF WARRANTY 	6,885km	3198cc, Diesel, Automatic	$69,975	 Private seller 	Asking price  $69,975
1668262008878-3852097149-location	Hamilton, Waikato	2021 Ford Ranger	 LIFTED - BF GOODRICH TYRES - HARD LID 	33,000km	3198cc, Petrol, Automatic	$59,990		Asking price  $59,990
1668262008895-3852096935-location	Nelson, Nelson Bays	2021 Ford Ranger	 2021 Wildtrak X White with lots of Extras 	30,000km	1996cc, Diesel, Automatic	$66,000	 Private seller 	Or near offer  $66,000
1668262015458-3851968140-location	Manukau, Auckland	2007 Ford Territory	 2007 Ford Territory TX AWD 	221,482km	3984cc, Petrol, Automatic	$10,499	 Private seller 	Or near offer  $10,499
1668262015506-3851899193-location	Porirua, Wellington	2014 Ford Kuga	 2014 FORD KUGA 	177,367km	1596cc, Petrol, Automatic	$3,770	 Private seller 	sale_type missing
1668262015514-3851882638-location	Lower Hutt City, Wellington	2007 Ford Focus	 Ford Focus 2007 	78,736km	1595cc, Petrol, Automatic	$6,000	 Private seller 	Or near offer  $6,000
1668262015520-3850935382-location	Cambridge, Waikato	1970 Ford Mustang	 1970 Mach 1 Project 	75,818km	5800cc, Petrol, Automatic	$100,000	 Private seller 	sale_type missing
1668262015530-3850865193-location	Manukau, Auckland	2018 Ford Ranger	 SELL DUE TO BUSINESS NEEDS MORE MONEY 	82,500km	3198cc, Diesel, Automatic	$36,950	 Private seller 	Or near offer  $36,950
1668262015539-3850749007-location	Mt. Maunganui, Bay of Plenty	2011 Ford Mondeo	 Serviced every 20,000km. Service history available 	247,815km	1997cc, Diesel, Automatic	$3,999	 Private seller 	Or near offer  $3,999
1668262015546-3850519771-location	Kapiti, Wellington	2010 Ford Mustang	 Great condition 2010 GT Mustang 4.6 V8 	120,000km	4600cc, Petrol, Automatic	$40,000	 Private seller 	Or near offer  $40,000
1668262015553-3850313387-location	Manukau, Auckland	2017 Ford Ranger	 NZ NEW ONE OWNER RANGER IN EXCELLENT CONDITION 2WD 	191,612km	3198cc, Diesel, Automatic	$29,500	 Private seller 	Asking price  $29,500
1668262015569-3849489363-location	Christchurch City, Canterbury	2003 Ford Falcon	 2003 Acid Rush Ba XR8 190Kms 	190,000km	5408cc, Petrol, Automatic	$13,050	 Private seller 	sale_type missing
1668262015599-3849347317-location	Rolleston, Canterbury	1989 Ford Laser	 All wheel drive, Turbo, Price is negotiable 	199,000km	1839cc, Petrol, Manual	$20,000	 Private seller 	Or near offer  $20,000
1668262015606-3849287147-location	Feilding, Manawatu	2014 Ford Falcon	sub_title missing	107,000km	3984cc, Petrol, Automatic	$18,000	 Private seller 	Asking price  $18,000
1668262015616-3849249792-location	Rotorua, Bay of Plenty	2008 Ford Falcon	 Premium pack spec 	165,441km	5400cc, Petrol	$38,000	 Private seller 	Or near offer  $38,000
1668262015622-3849219353-location	Manukau, Auckland	2009 Ford Transit	 Ford transit campervan 2009 	186,400km	2399cc, Diesel, Manual	$65,000	 Private seller 	Or near offer  $65,000
1668262015629-3849109405-location	Rangiora, Canterbury	1967 Ford Cortina	 1962 mk1 2 door from UK registered in NZ in 1967 	1,000,000km	1150cc, Petrol	$5,000	 Private seller 	sale_type missing
1668262015641-3848429685-location	Porirua, Wellington	2010 Ford Falcon	 Supercharged FG XR6 	140,000km	3984cc, Petrol, Automatic	$62,000	 Private seller 	sale_type missing
1668262015647-3848303959-location	Christchurch, Canterbury	2010 Ford Falcon	 * 1 OWNER OF 12 YEARS - LOW KMS - TOW BAR * 	67,700km	4000cc, Petrol, Automatic	$19,850		Asking price  $19,850
1668262015655-3848291145-location	Christchurch, Canterbury	2014 Ford Territory	 CAMBELT JUST REPLACED - 7 SEATER AWD - ROOF RACKS 	160,400km	2700cc, Diesel, Automatic	$17,850		Asking price  $17,850
1668262015666-3848155257-location	Auckland, Auckland	2018 Ford Everest	 Another Quality South Auckland Motors Used Vehicle 	66,660km	3198cc, Diesel, Automatic	$49,995		Asking price  $49,995
1668262015674-3848058298-location	Whakatane, Bay of Plenty	2015 Ford Ranger	 WILDTRAK ALLOYS, SPORTS BAR, NUDGE BAR, BONNET PRO 	152,505km	3198cc, Diesel, Automatic	$34,995		Asking price  $34,995
1668262015700-3848009755-location	Christchurch, Canterbury	2005 Ford Falcon	sub_title missing	157,609km	5408cc, Petrol, Automatic	$33,989		Asking price  $33,989
1668262015712-3847944428-location	Christchurch City, Canterbury	2015 Ford Ranger	 NZ New, Ex-Lease with Detailed Maintenance History 	168,681km	3199cc, Diesel, Manual	$31,990	 Private seller 	Asking price  $31,990
1668262015719-3847928713-location	Auckland, Auckland	2022 Ford Ranger	 Helping People Buy Great Cars Since 1954 	4,500km	2000cc, Diesel, Automatic	$53,990		Asking price  $53,990
1668262023595-3847926979-location	Auckland, Auckland	2022 Ford Ranger	 Another Quality South Auckland Motors Used Vehicle 	3,990km	2993cc, Diesel, Automatic	$75,995		Asking price  $75,995
1668262023690-3856662670-location	Auckland, Auckland	2022 Ford Ranger	 Helping People Buy Great Cars Since 1954 	990km	2993cc, Diesel	$85,995		Asking price  $85,995
1668262023792-3847926928-location	Auckland, Auckland	2020 Ford Escape	 Helping People Buy Great Cars Since 1954 	12,000km	2500cc, Petrol, Automatic	$56,995		Asking price  $56,995
1668262023805-3847920492-location	Tauranga, Bay of Plenty	2013 Ford Kuga	 Serviced regularly. Well looked after. 	172,000km	1997cc, Diesel, Automatic	$1,000	 Private seller 	sale_type missing
