location,City,Island
", Auckland",Auckland,North Island
", Canterbury",Christchurch,South Island
", Hawke's Bay",Other North Island,North Island
", Nelson Bays",Other South Island,South Island
", Northland",Other North Island,North Island
", Taranaki",Other North Island,North Island
", Waikato",Hamilton,North Island
", Wairarapa",Other North Island,North Island
", Wellington",Wellington,North Island
"5810, Wairarapa",Hamilton,North Island
"Akaroa, Canterbury",Christchurch,South Island
"Albany, Auckland",Auckland,North Island
"Alexandra, Otago",Other South Island,South Island
"Amberley, Canterbury",Christchurch,South Island
"Ashburton, Canterbury",Christchurch,South Island
"Auckland 1061, Auckland",Auckland,North Island
"Auckland 2013, Auckland",Auckland,North Island
"Auckland City, Auckland",Auckland,North Island
"Auckland, Auckland",Auckland,North Island
"Auckland, North Shore, Auckland",Auckland,North Island
"AucklandAuckland, Auckland",Auckland,North Island
"Balclutha, Otago",Other South Island,South Island
"Bay Of Islands, Northland",Other North Island,North Island
"Belfast, Canterbury",Christchurch,South Island
"Blenheim, Marlborough",Other South Island,South Island
"Bluff, Southland",Other South Island,South Island
"Botany Downs, Auckland",Auckland,North Island
"Bulls, Manawatu",Other North Island,North Island
"Cambridge, Waikato",Hamilton,North Island
"Canterbury, Canterbury",Christchurch,South Island
"Carterton, Wairarapa",Hamilton,North Island
"ChCh, Canterbury",Christchurch,South Island
"Cheviot, Canterbury",Christchurch,South Island
"Christ, Canterbury",Christchurch,South Island
"Christchruch, Canterbury",Christchurch,South Island
"Christchurch 8011, Canterbury",Christchurch,South Island
"Christchurch City, Canterbury",Christchurch,South Island
"Christchurch, Canterbury",Christchurch,South Island
"Christchurch., Canterbury",Christchurch,South Island
"Clevedon, Auckland",Auckland,North Island
"Coromandel, Waikato",Hamilton,North Island
"Cromwell, Otago",Other South Island,South Island
"Dannevirke, Manawatu",Other North Island,North Island
"Darfield, Canterbury",Christchurch,South Island
"Dargaville, Northland",Other North Island,North Island
"Dunedin, Otago",Other South Island,South Island
"Edendale, Southland",Other South Island,South Island
"Fairlie, Canterbury",Christchurch,South Island
"Featherston, Wairarapa",Other North Island,North Island
"Feilding, Manawatu",Other North Island,North Island
"Ferrymead, Canterbury",Christchurch,South Island
"Franklin, Auckland",Auckland,North Island
"Geraldine, Canterbury",Christchurch,South Island
"Gisborne, Gisborne",Other North Island,North Island
"Golden Bay, Nelson Bays",Other South Island,South Island
"Gore, Southland",Other South Island,South Island
"Greymouth, West Coast",Other South Island,South Island
"Greytown, Wairarapa",Other North Island,North Island
"Halswell, Canterbury",Christchurch,South Island
"Hamilton, Waikato",Hamilton,North Island
"Hanmer Springs, Canterbury",Christchurch,South Island
"Hastings, Hawke's Bay",Other North Island,North Island
"Hawera, Taranaki",Other North Island,North Island
"Hawkes Bay, Hawke's Bay",Other North Island,North Island
"Hawke's Bay, Hawke's Bay",Other North Island,North Island
"Helensville, Auckland",Auckland,North Island
"Henderson, Auckland",Auckland,North Island
"Hibiscus Coast, Auckland",Auckland,North Island
"Hokitika, West Coast",Other South Island,South Island
"Huntly, Waikato",Hamilton,North Island
"Invercargill, Southland",Other South Island,South Island
"Kaiapoi, Canterbury",Christchurch,South Island
"Kaikohe, Northland",Other North Island,North Island
"Kaikoura, Canterbury",Christchurch,South Island
"Kaitaia, Northland",Other North Island,North Island
"Kamo, Northland",Other North Island,North Island
"Kapiti, Wellington",Wellington,North Island
"Katikati, Bay of Plenty",Other North Island,North Island
"Kawakawa, Northland",Other North Island,North Island
"Kawerau, Bay of Plenty",Other North Island,North Island
"Kerikeri, Northland",Other North Island,North Island
"Kumeu, Auckland",Auckland,North Island
"Kurow, Timaru - Oamaru",Other South Island,South Island
"Lawrence, Otago",Other South Island,South Island
"Levin, Manawatu",Other North Island,North Island
"Lower Hutt City, Wellington",Wellington,North Island
"Lower Hutt, Wellington",Wellington,North Island
"Lumsden, Southland",Other South Island,South Island
"Lyttelton, Canterbury",Christchurch,South Island
"Manawatu, Manawatu",Other North Island,North Island
"Mangawhai, Northland",Other North Island,North Island
"Mangere, Auckland",Auckland,North Island
"Manukau City, Auckland",Auckland,North Island
"Manukau, Auckland",Auckland,North Island
"Marlborough Sounds, Marlborough",Other South Island,South Island
"Marlborough, Marlborough",Other South Island,South Island
"Martinborough, Wairarapa",Other North Island,North Island
"Marton, Manawatu",Other North Island,North Island
"Masterton, Wairarapa",Other North Island,North Island
"Matamata, Waikato",Hamilton,North Island
"Maungaturoto, Northland",Other North Island,North Island
"Milton, Otago",Other South Island,South Island
"Mokau, Taranaki",Other North Island,North Island
