listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668253829560-3860462723-location	Tauranga, Bay of Plenty	2013 Mazda CX-9	 Great family car 	232,632km	3726cc, Petrol, Automatic	$12,000	 Private seller 	Or near offer  $12,000
1668253829570-3860360996-location	Tauranga, Bay of Plenty	1996 Mazda Eunos	sub_title missing	161,000km	1830cc, Petrol, Manual	$11,750	 Private seller 	sale_type missing
1668253829576-3860271420-location	Wellington City, Wellington	2007 Mazda Axela	sub_title missing	153,716km	1498cc, Petrol, Tiptronic	$4,000	 Private seller 	sale_type missing
1668253829582-3860245691-location	Christchurch, Canterbury	2016 Mazda Demio	sub_title missing	90,030km	1300cc, Petrol, Automatic	$14,449		Asking price  $14,449
1668253829591-3859967532-location	Rotorua, Bay of Plenty	2011 Mazda 3	 Efficient, Reliable and Four Star Safety 	155,000km	2488cc, Petrol	$7,000	 Private seller 	sale_type missing
1668253829618-3859948361-location	Manukau, Auckland	2009 Mazda Axela	sub_title missing	71,326km	1990cc, Petrol, Automatic	$9,950	 Private seller 	Asking price  $9,950
1668253829624-3859942111-location	Stratford, Taranaki	2014 Mazda CX-5	 NZ New, GSX, 2.5L, AWD 	186,190km	2488cc, Petrol, Automatic	$15,000	 Private seller 	Asking price  $15,000
1668253829630-3859854700-location	Auckland, Auckland	2014 Mazda Axela	 LOW KM ONLY 41961 KM VERY TIDY 	41,961km	1500cc, Petrol, Tiptronic	$16,995		Asking price  $16,995
1668253829639-3859816160-location	Wellington City, Wellington	2009 Mazda Atenza	 2009 AWD Mazda Atenza Wagon Towbar, Apple CarPlay 	120,000km	2488cc, Petrol, Automatic	$3,509	 Private seller 	sale_type missing
1668253829645-3858938351-location	Auckland, Auckland	2010 Mazda Axela	 Sale Sale Sale 	54,265km	2000cc, Petrol, Automatic	$11,980		Asking price  $11,980
1668253829651-3858865508-location	Auckland, Auckland	2012 Mazda Axela	 NO CLEAN CAR FEES REQUIRED! 	113,971km	2000cc, Petrol, Automatic	$9,464		Asking price  $9,464
1668253829677-3858694488-location	Tauranga, Bay of Plenty	2021 Mazda CX-5	 2.2L, DIESEL, AWD, LTD MODEL, LEATHER, GPS 	13,820km	2191cc, Diesel, Automatic	$44,990		Asking price  $44,990
1668253829734-3858681298-location	Tauranga, Bay of Plenty	2022 Mazda MX-30	 DEMONSTRATOR - AVAILABLE NOW 	1,500km	1998cc, Hybrid, Automatic	$44,990		Asking price  $44,990
1668253829917-3858631689-location	Onehunga, Auckland	2007 Mazda Atenza	 ALLOY WHEELS / AIRCONDITION / STEERING WHEEL CONTR 	113,096km	1998cc, Petrol, Automatic	$5,890		Asking price  $5,890
1668253829936-3858556563-location	Manawatu, Manawatu	2014 Mazda BT-50	 6.95% FINANCE SPECIAL ON NOW 	177,054km	3196cc, Diesel	$36,490		Asking price  $36,490
1668253830027-3858540879-location	Auckland, Auckland	2013 Mazda Atenza	 *Radar Cruise Ctrl, Paddle Shift, Rev Camera, ESC* 	102,000km	2000cc, Petrol, Automatic	$15,915		Asking price  $15,915
1668253830123-3858531524-location	Hamilton, Waikato	2014 Mazda CX-5	 RATED  4.9/5  STAR  GOOGLE  REVIEWS  =  TRUSTED 	97,000km	2200cc, Diesel, Automatic	$17,985		Asking price  $17,985
1668253830221-3858531468-location	Hamilton, Waikato	2013 Mazda Atenza	 HAMILTON'S  ONLY  AA  PREFERRED  DEALER = TRUSTED 	111,000km	2200cc, Diesel, Automatic	$14,985		Asking price  $14,985
1668253830341-3858479926-location	Auckland, Auckland	2009 Mazda Axela	 LOW KM ONLY 30569 VERY TIDY 	30,569km	2000cc, Petrol, Tiptronic	$11,750		Asking price  $11,750
1668253830351-3858479885-location	Christchurch, Canterbury	2013 Mazda CX-5	 2.0L PETROL, RARE 4WD MODEL 	70,013km	2000cc, Petrol, Automatic	$21,950		Asking price  $21,950
1668253830417-3858458208-location	Auckland City, Auckland	2008 Mazda 2	 NZ New 	214,000km	1498cc, Petrol, Automatic	$4,900	 Private seller 	Or near offer  $4,900
1668253830427-3858412123-location	Hamilton, Waikato	2014 Mazda Axela	 SUPER RARE HIGH SPEC MODEL,SUNROOF/BOSE/LEATHER 	111,200km	1990cc, Hybrid, Automatic	$21,800	 Private seller 	Asking price  $21,800
1668253836925-3858377579-location	Auckland, Auckland	2012 Mazda Axela	 CERTIFIED LOW MILEAGE OF ONLY 28524 KMS. 	28,524km	2000cc, Petrol, Automatic	$13,995		Asking price  $13,995
1668253837010-3858371229-location	Auckland, Auckland	2013 Mazda CX-5	 17 ALLOYS WITH ALL 4 BRAND NEW TYRES. 	122,978km	2200cc, Diesel, Automatic	$17,995		Asking price  $17,995
1668253837093-3858358376-location	Oamaru, Timaru - Oamaru	2021 Mazda MX-5	 OPPS REGO TOMMOROW BEEN SITTING COVERED 	4,300km	1998cc, Petrol, Manual	$47,999	 Private seller 	Asking price  $47,999
1668253837181-3857616398-location	Auckland, Auckland	2014 Mazda Atenza	 CRUISE CONTROL, ALLOYWHEELS, GET REBATE 	121,612km	2188cc, Diesel, Automatic	$14,990	 Dealer | Legendary Motors 	Asking price  $14,990
