listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668257028668-3860557772-location	Napier, Hawke's Bay	2007 Mitsubishi Colt	 RALLIART BODYKIT, TURBO, BLACK ON BLACK,LOWERED 	182,000km	1460cc, Petrol, Automatic	$8,000	 Private seller 	Or near offer  $8,000
1668257028682-3860245633-location	Christchurch, Canterbury	2007 Mitsubishi Outlander	sub_title missing	108,681km	2400cc, Petrol, Automatic	$10,832.75		Asking price  $10,832.75
1668257028691-3860232842-location	Auckland, Auckland	2015 Mitsubishi Outlander	 AA SAFETY CERTIFIED 	91,631km	2000cc, Plug-in hybrid, Automatic	$32,975		Asking price  $32,975
1668257028699-3860116707-location	Hamilton, Waikato	2011 Mitsubishi Outlander	 Great Family Vacation Vehicle 	120,000km	1998cc, Petrol, Automatic	$8,499	 Private seller 	Or near offer  $8,499
1668257028710-3859959856-location	Whakatane, Bay of Plenty	2010 Mitsubishi Challenger	sub_title missing	244,610km	2477cc, Diesel, Automatic	$15,000	 Private seller 	sale_type missing
1668257028722-3859957686-location	Christchurch, Canterbury	2011 Mitsubishi Outlander	" AA"""" CERTIFIED IMPORTS - EASY FINANCE AVAILABLE "	81,000km	2400cc, Petrol, Automatic	$14,990		Asking price  $14,990
1668257028729-3859938167-location	North Shore, Auckland	2018 Mitsubishi Outlander	 NZ New, Fresh Full Detail, 1 Owner, 7 Seater 	94,752km	1998cc, Petrol, Automatic	$21,000	 Private seller 	Or near offer  $21,000
1668257028737-3859930871-location	Tauranga, Bay of Plenty	2010 Mitsubishi Delica	 Mitsubishi Delica 	151,329km	1998cc, Petrol, Automatic	$9,500	 Private seller 	Or near offer  $9,500
1668257028748-3858999264-location	Matamata, Waikato	2021 Mitsubishi ASX	 *Special BLACK EDITION, PANORAMIC ROOF* 	26,000km	1998cc, Petrol, Automatic	$27,500	 Private seller 	Or near offer  $27,500
1668257028755-3858966470-location	Papakura, Auckland	2008 Mitsubishi Canter	 2008 Mitsubishi Canter Crane 	156,770km	4890cc, Diesel, Manual	$33,000	 Private seller 	sale_type missing
1668257028763-3858844689-location	North Shore, Auckland	2006 Mitsubishi Pajero	sub_title missing	181,911km	2972cc, Petrol, Automatic	$9,000	 Private seller 	sale_type missing
1668257028776-3858682492-location	Tauranga, Bay of Plenty	2016 Mitsubishi Triton	 2.4L, AUTO, 4WD, BLUETOOTH, 3000KG TOWING 	80,250km	2442cc, Diesel, Automatic	$37,990		Asking price  $37,990
1668257028785-3858631655-location	Onehunga, Auckland	2007 Mitsubishi Outlander	 ALLOY WHEELS / AIRCONDITION / STEERING WHEEL CONTR 	121,165km	2350cc, Petrol, Automatic	$9,890		Asking price  $9,890
1668257028795-3858549510-location	North Shore, Auckland	2018 Mitsubishi Triton	 2018 NZ New Mitsubishi Triton Excellent Condition 	77,651km	2442cc, Diesel, Automatic	$34,500	 Private seller 	Or near offer  $34,500
1668257028805-3858380666-location	Lower Hutt City, Wellington	2005 Mitsubishi Pajero	 NZ New, Great Condition, $1 Reserve Auction 	289,200km	3828cc, Petrol, Automatic	$3,010	 Private seller 	sale_type missing
