listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668259252175-3860111933-location	New Plymouth, Taranaki	2004 Nissan Maxima	 Surplus to requirements 	295,000km	3498cc, Petrol, Automatic	$2,600	 Private seller 	Or near offer  $2,600
1668259252185-3859890331-location	Christchurch, Canterbury	2020 Nissan Leaf	 92.82% STATE OF HEALTH 	9,052km	Electric, Automatic	$50,990		Asking price  $50,990
1668259252191-3859821340-location	Lower Hutt, Wellington	2007 Nissan Dualis	sub_title missing	82,000km	1990cc, Petrol, Automatic	$9,990		Asking price  $9,990
1668259252197-3859795778-location	Dunedin, Otago	2014 Nissan Leaf	 Good condition, one NZ owner, 78000km 	78,000km	Electric	$8,000	 Private seller 	sale_type missing
1668259252223-3859609195-location	Manukau, Auckland	1989 Nissan Datsun	 Nissan D21 	251,145km	2660cc, Diesel	$10,500	 Private seller 	Or near offer  $10,500
1668259252229-3859344177-location	Christchurch City, Canterbury	2005 Nissan Teana	 Tidy and great condition 	86,200km	2340cc, Petrol, Automatic	$5,900	 Private seller 	Or near offer  $5,900
1668259252235-3859323113-location	Auckland, Auckland	2018 Nissan Leaf	 ELIGIBLE FOR EV REBATE OF $3,450 - ASK US! 	16,000km	Electric, Automatic	$39,995		Asking price  $39,995
1668259252244-3858938218-location	Auckland, Auckland	2011 Nissan Skyline	 Sale Sale Sale 	60,736km	3700cc, Petrol, Automatic	$20,855		Asking price  $20,855
1668259252251-3858925316-location	Hamilton, Waikato	2021 Nissan Navara	 NO DEPOSIT FINANCE AVAILABLE T.A.P 	14,362km	2298cc, Diesel, Manual	$32,950		Asking price  $32,950
1668259252257-3858890907-location	Hamilton, Waikato	2015 Nissan X-Trail	 -EASY FINANCE FROM 9.95% - 	132,863km	2000cc, Petrol, Automatic	$21,995		Asking price  $21,995
1668259252263-3858883268-location	Franklin, Auckland	1998 Nissan Primera	 NZ new Steve Millen Primera 	164,821km	1998cc, Petrol, Automatic	$17,500	 Private seller 	Or near offer  $17,500
1668259252274-3858739555-location	Rolleston, Canterbury	2008 Nissan Skyline	 350gt  skyline 	127,000km	3490cc, Petrol, Automatic	$8,750	 Private seller 	sale_type missing
1668259252280-3858631653-location	Onehunga, Auckland	2005 Nissan Note	 ALLOY WHEELS / AIRCONDITION / ELECTRIC MIRRORS / 	119,006km	1498cc, Petrol, Automatic	$4,990		Asking price  $4,990
1668259252286-3858631611-location	Onehunga, Auckland	2005 Nissan Tiida	 AIRCONDITION / ELECTRIC MIRRORS / RECLINER SEATS 	113,162km	1490cc, Petrol, Automatic	$4,990		Asking price  $4,990
