listing_id	location	title	sub_title	mileage	engine_details	asking_price	vendor	sale_type
1668268056112-3860420883-location	Christchurch City, Canterbury	2008 Toyota Hiace	sub_title missing	740,000km	2982cc, Diesel, Manual	$15,500	 Private seller 	Asking price  $15,500
1668268056122-3860390030-location	Palmerston North, Manawatu	2019 Toyota Hiace	sub_title missing	259,000km	2982cc, Diesel, Automatic	$25,000	 Private seller 	Asking price  $25,000
1668268056127-3860252953-location	Auckland, Auckland	2018 Toyota Vellfire	 DOUBLE SUN ROOF 	22,520km	3456cc, Petrol, Automatic	$64,995		Asking price  $64,995
1668268056163-3860245632-location	Christchurch, Canterbury	2012 Toyota Aqua	sub_title missing	121,614km	1500cc, Hybrid, Automatic	$12,989		Asking price  $12,989
1668268056171-3860245627-location	Christchurch, Canterbury	2013 Toyota Aqua	sub_title missing	127,591km	1500cc, Petrol, Automatic	$12,989		Asking price  $12,989
1668268056177-3860245586-location	Christchurch, Canterbury	2013 Toyota Aqua	sub_title missing	117,140km	1500cc, Hybrid, Automatic	$12,689		Asking price  $12,689
1668268056182-3860245584-location	Christchurch, Canterbury	2014 Toyota Aqua	sub_title missing	105,824km	1500cc, Hybrid, Automatic	$14,349		Asking price  $14,349
1668268056191-3860245544-location	Christchurch, Canterbury	2012 Toyota Prius	sub_title missing	124,797km	1800cc, Hybrid, Automatic	$13,989		Asking price  $13,989
1668268056196-3860231661-location	Hamilton, Waikato	2001 Toyota Soarer	 SC430 Magnificent Convertible! 	159,654km	4290cc, Petrol	$17,700	 Private seller 	Or near offer  $17,700
1668268056200-3860170124-location	Auckland City, Auckland	2015 Toyota Harrier	 Full MODELLISTA Body Kit/Hybrid SUV 	98,000km	2493cc, Hybrid, Automatic	$3,200	 Dealer 	sale_type missing
1668268056206-3860073098-location	North Shore, Auckland	2017 Toyota Corolla	 excellent wagon ready for xmas 	92,411km	1496cc, Hybrid, Automatic	$19,000	 Private seller 	Asking price  $19,000
1668268056215-3860057126-location	Nelson, Nelson Bays	2005 Toyota Hilux	 Well Maintained Unique Style Hilux Surf 	241,063km	2690cc, Petrol, Automatic	$11,900	 Private seller 	Or near offer  $11,900
1668268056220-3860024859-location	North Shore, Auckland	2010 Toyota Mark-X	 3.5L Premium, Very tidy example 	121,000km	3450cc, Petrol, Automatic	$10,499	 Private seller 	Asking price  $10,499
1668268056226-3860008950-location	Kapiti, Wellington	2005 Toyota Vitz	 A great little runner 	186,900km	1290cc, Petrol, Automatic	$3,995	 Private seller 	Asking price  $3,995
1668268056234-3859951877-location	Lower Hutt City, Wellington	1997 Toyota Surf	sub_title missing	295,200km	2982cc, Diesel, Automatic	$10,000	 Private seller 	sale_type missing
1668268056263-3859830655-location	Auckland, Auckland	2020 Toyota RAV4	 SINGLES, BLACK FRIDAY SALE, FREE $500 FUEL VOUCHER 	27,400km	2487cc, Hybrid, Automatic	$59,990		Asking price  $59,990
1668268056269-3859769099-location	Tauranga, Bay of Plenty	2013 Toyota 86	" MANUAL! COILOVERS! 18""""WHEELS! FINANCE FROM $108.5 "	112,777km	2000cc, Petrol, Manual	$26,990		Asking price  $26,990
1668268056278-3859759625-location	Auckland, Auckland	2018 Toyota Corolla	 LOW KMS! 	53,874km	1798cc, Petrol, Tiptronic	$20,990		Asking price  $20,990
1668268056284-3859687878-location	Auckland City, Auckland	2019 Toyota Hiace	 NZPost new 	129,000km	2982cc, Diesel, Automatic	$39,990	 Private seller 	Or near offer  $39,990
1668268056288-3859615247-location	Nelson, Nelson Bays	2007 Toyota Vanguard	 7 Seater , AWD Toyota Vanguard 	142,700km	2360cc, Petrol, Automatic	$11,499	 Private seller 	Or near offer  $11,499
1668268056296-3859323842-location	North Shore, Auckland	2006 Toyota Ractis	 great condition 	120,000km	1290cc, Petrol, Automatic	$5,500	 Private seller 	Or near offer  $5,500
1668268056301-3858938418-location	Auckland, Auckland	2013 Toyota Aqua	 Sale Sale Sale 	119,180km	1500cc, Hybrid, Automatic	$11,480		Asking price  $11,480
